Species;population;N.ind;N.plots
Sorocea steinbachii;1,62E+08;628;110
Eschweilera rufifolia;1,61E+08;557;111
Mouriri nigra;1,61E+08;456;137
Sloanea pubescens;1,61E+08;451;124
Mouriri apiranga;1,60E+08;349;69
Protium polybotryum;1,60E+08;487;109
Oxandra xylopioides;1,60E+08;369;125
Physocalymma scaberrimum;1,59E+08;375;42
Stryphnodendron guianense;1,59E+08;292;75
Lecythis prancei;1,59E+08;1166;154
Swartzia racemosa;1,58E+08;909;146
Cordia goeldiana;1,57E+08;327;88
Matisia malacocalyx;1,57E+08;1044;86
Aldina latifolia;1,57E+08;579;25
Guarea carinata;1,56E+08;481;126
Guatteria subsessilis;1,56E+08;429;27
Astronium graveolens;1,56E+08;492;114
Oenocarpus mapora;1,56E+08;588;106
Lindackeria paludosa;1,55E+08;435;124
Inga umbellifera;1,55E+08;539;181
Inga paraensis;1,54E+08;396;157
Parkia igneiflora;1,54E+08;280;68
Endopleura uchi;1,54E+08;1429;186
Swartzia recurva;1,53E+08;1253;213
Protium grandifolium;1,53E+08;363;108
Pausandra trianae;1,53E+08;529;65
Brosimum alicastrum;1,53E+08;404;109
Hirtella bicornis;1,52E+08;542;180
Tapirira obtusa;1,52E+08;572;198
Lecythis retusa;1,52E+08;134;29
Myrcia amazonica;1,52E+08;354;67
Terminalia oblonga;1,51E+08;322;94
Clarisia biflora;1,50E+08;508;157
Protium goudotianum;1,50E+08;275;79
Xylopia calophylla;1,50E+08;738;83
Lecythis confertiflora;1,50E+08;664;55
Alexa confusa;1,50E+08;348;12
Hirtella triandra;1,49E+08;403;105
Heisteria acuminata;1,49E+08;307;132
Machaerium hirtum;1,49E+08;535;7
Chimarrhis turbinata;1,48E+08;1163;209
Ocotea canaliculata;1,48E+08;526;147
Triplaris americana;1,48E+08;365;84
Caraipa longipedicellata;1,48E+08;239;18
Macrolobium microcalyx;1,48E+08;346;63
Zygia cauliflora;1,47E+08;684;70
Protium guianense;1,47E+08;444;127
Guarea gomma;1,47E+08;511;138
Lecythis persistens;1,47E+08;1534;73
Swartzia leiocalycina;1,47E+08;624;26
Tachigali melanocarpa;1,46E+08;239;64
Aspidosperma parvifolium;1,46E+08;399;101
Guatteria schomburgkiana;1,46E+08;456;126
Cecropia ficifolia;1,46E+08;453;107
Crudia amazonica;1,46E+08;331;62
Virola venosa;1,46E+08;304;135
Zygia inaequalis;1,45E+08;432;63
Anacardium giganteum;1,45E+08;300;153
Couratari guianensis;1,45E+08;529;276
Inga stenoptera;1,45E+08;403;82
Pouteria campanulata;1,44E+08;440;178
Guatteria scytophylla;1,44E+08;336;92
Oxandra asbeckii;1,44E+08;1001;97
Parinari excelsa;1,43E+08;438;184
Caraipa punctulata;1,43E+08;206;36
Chrysophyllum amazonicum;1,43E+08;223;79
Paypayrola grandiflora;1,43E+08;996;203
Parkia nitida;1,42E+08;488;251
Matisia lasiocalyx;1,42E+08;269;34
Trichilia schomburgkii;1,42E+08;370;124
Psidium sartorianum;1,41E+08;137;6
Pseudopiptadenia psilostachya;1,41E+08;539;165
Matayba guianensis;1,41E+08;351;67
Swartzia benthamiana;1,41E+08;245;68
Hymenaea parvifolia;1,41E+08;364;149
Swartzia laevicarpa;1,41E+08;492;76
Alchorneopsis floribunda;1,40E+08;364;165
Mabea angularis;1,39E+08;710;83
Ampelocera ruizii;1,39E+08;265;57
Amaioua glomerulata;1,38E+08;417;109
Cecropia concolor;1,38E+08;281;66
Terminalia grandis;1,37E+08;395;215
Perebea xanthochyma;1,37E+08;497;127
Tapura guianensis;1,36E+08;682;147
Qualea acuminata;1,36E+08;296;57
Duguetia marcgraviana;1,36E+08;287;37
Fusaea longifolia;1,35E+08;527;232
Swartzia cardiosperma;1,35E+08;693;95
Annona exsucca;1,35E+08;313;122
Pradosia schomburgkiana;1,34E+08;688;47
Eugenia patrisii;1,33E+08;667;212
Gallesia integrifolia;1,33E+08;216;47
Digomphia densicoma;1,33E+08;199;1
Protium crassipetalum;1,33E+08;277;92
Couma macrocarpa;1,33E+08;315;157
Eperua jenmanii;1,32E+08;357;12
Theobroma glaucum;1,32E+08;1568;115
Pouteria trilocularis;1,32E+08;433;116
Virola flexuosa;1,31E+08;301;111
Panopsis rubescens;1,31E+08;589;54
Virola multinervia;1,31E+08;568;201
Heterostemon conjugatus;1,30E+08;189;22
Maprounea guianensis;1,30E+08;286;100
Campsiandra angustifolia;1,30E+08;227;32
Mollia gracilis;1,30E+08;399;46
Inga splendens;1,30E+08;411;126
Vantanea guianensis;1,29E+08;404;153
Licania laxiflora;1,29E+08;601;86
Pouteria bilocularis;1,28E+08;495;175
Ruizterania albiflora;1,28E+08;797;157
Maytenus guyanensis;1,28E+08;260;119
Tachigali micropetala;1,28E+08;162;62
Corythophora alta;1,28E+08;469;116
Swartzia arborescens;1,28E+08;435;209
Tachigali setifera;1,28E+08;229;89
Pogonophora schomburgkiana;1,27E+08;480;155
Eschweilera gigantea;1,27E+08;342;83
Gustavia pulchra;1,27E+08;198;11
Lecythis poiteaui;1,27E+08;537;154
Vochysia guianensis;1,27E+08;341;71
Astrocaryum chambira;1,27E+08;408;76
Xylopia sericea;1,26E+08;265;56
Micropholis williamii;1,26E+08;540;134
Macrolobium gracile;1,26E+08;275;49
Simaba polyphylla;1,26E+08;598;199
Jacaratia spinosa;1,26E+08;222;89
Tachigali bracteosa;1,25E+08;805;52
Amanoa guianensis;1,25E+08;472;53
Dacryodes chimantensis;1,25E+08;206;56
Duroia velutina;1,25E+08;480;11
Diospyros poeppigiana;1,24E+08;693;55
Ocotea percurrens;1,24E+08;392;127
Miconia poeppigii;1,24E+08;295;61
Trichilia lecointei;1,24E+08;208;42
Guarea convergens;1,23E+08;185;60
Erisma laurifolium;1,23E+08;298;50
Dodecastigma integrifolium;1,22E+08;241;22
Casearia sylvestris;1,21E+08;498;160
Cordia alliodora;1,21E+08;300;97
Andira micrantha;1,21E+08;283;128
Helianthostylis sprucei;1,21E+08;378;132
Myrcia multiflora;1,20E+08;276;45
Croton cuneatus;1,20E+08;199;50
Geissospermum argenteum;1,19E+08;431;89
Campsiandra laurifolia;1,19E+08;498;67
Licaria guianensis;1,19E+08;600;176
Ilex inundata;1,19E+08;312;35
Sandwithia guyanensis;1,19E+08;749;74
Chrysophyllum lucentifolium;1,19E+08;478;101
Lecythis pisonis;1,18E+08;437;165
Carapa surinamensis;1,18E+08;512;109
Theobroma microcarpum;1,18E+08;302;52
Eschweilera chartaceifolia;1,17E+08;258;80
Pouteria durlandii;1,17E+08;259;128
Couepia bracteosa;1,17E+08;321;142
Hieronyma oblonga;1,17E+08;329;89
Pouteria laevigata;1,17E+08;280;106
Richeria grandis;1,17E+08;313;112
Ambelania acida;1,17E+08;614;235
Vismia sandwithii;1,16E+08;124;24
Terminalia dichotoma;1,16E+08;416;95
Qualea rosea;1,16E+08;507;55
Guarea pubescens;1,16E+08;324;124
Eschweilera pseudodecolorans;1,15E+08;313;99
Swartzia tomentifera;1,15E+08;219;53
Parkia pendula;1,15E+08;299;184
Cecropia palmata;1,15E+08;461;80
Dacryodes microcarpa;1,15E+08;237;19
Ocotea cujumary;1,15E+08;535;141
Chrysophyllum pomiferum;1,15E+08;293;142
Iriartella setigera;1,15E+08;145;20
Iryanthera crassifolia;1,15E+08;228;56
Theobroma grandiflorum;1,14E+08;130;60
Lecythis chartacea;1,14E+08;390;87
Micrandra glabra;1,14E+08;382;5
Guapira venosa;1,14E+08;468;61
Pouteria venosa;1,13E+08;575;154
Mouriri acutiflora;1,13E+08;761;88
