Species;population;N.ind;N.plots
Virola flexuosa;126804990,621784;301;111
Digomphia densicoma;126781165,907047;199;1
Dacryodes chimantensis;126527351,091376;206;56
Vantanea guianensis;126445513,920841;404;153
Astrocaryum chambira;126113848,446463;408;76
Eschweilera gigantea;125949808,432264;342;83
Virola multinervia;125886252,825912;568;201
Tachigali setifera;125463003,148351;229;89
Erisma laurifolium;125060270,342257;298;50
Ocotea cernua;125037170,458867;492;147
Tachigali micropetala;124848482,013763;162;62
Macrolobium gracile;124784605,688509;275;49
Maytenus guyanensis;124641690,620584;260;119
Jacaratia spinosa;124616873,740043;222;89
Amanoa guianensis;124522028,741241;472;53
Vochysia guianensis;123822207,996412;341;71
Simaba polyphylla;123579822,069094;598;199
Duroia velutina;123396029,709393;480;11
Pogonophora schomburgkiana;123122987,855172;480;155
Diospyros poeppigiana;123100893,73386;693;55
Inga splendens;122644514,9777;411;126
Tachigali bracteosa;122638042,355639;805;52
Richeria grandis;122139367,476684;313;112
Corythophora alta;121571559,435018;469;116
Dodecastigma integrifolium;121394020,936236;241;22
Xylopia sericea;121104876,34531;265;56
Campsiandra laurifolia;121026428,348467;498;67
Casearia sylvestris;120889875,476994;498;160
Lecythis poiteaui;120139670,321223;537;154
Trichilia lecointei;119933716,596982;208;42
Myrcia multiflora;119862821,989221;276;45
Micropholis williamii;119821508,081355;540;134
Croton cuneatus;118743383,181839;199;50
Guarea convergens;118597880,21696;185;60
Cordia alliodora;118496113,444327;300;97
Sandwithia guyanensis;118055996,079616;749;74
Ocotea percurrens;117527494,805097;392;127
Andira micrantha;117502025,861518;283;128
Geissospermum argenteum;117141457,589992;431;89
Licaria guianensis;117021483,316587;600;176
Theobroma microcarpum;116954422,554362;302;52
Chrysophyllum lucentifolium;116731589,827763;478;101
Eschweilera chartaceifolia;116537811,185191;258;80
Ilex inundata;116529451,636349;312;35
Swartzia tomentifera;116292417,200471;219;53
Terminalia dichotoma;116268763,894527;416;95
Ambelania acida;116255989,404763;614;235
Carapa surinamensis;116246553,871529;512;109
Qualea rosea;115989496,816649;507;55
Miconia poeppigii;115508966,181982;295;61
Pouteria laevigata;115284018,171234;280;106
Pouteria durlandii;115048085,924949;259;128
Helianthostylis sprucei;114626205,352258;378;132
Iryanthera crassifolia;114384479,437408;228;56
Couepia bracteosa;114324777,664965;321;142
Hieronyma oblonga;113747561,064976;329;89
Eschweilera pseudodecolorans;113663581,996237;313;99
Guarea pubescens;113425607,086648;326;125
Guapira venosa;113419273,007369;468;61
Lecythis chartacea;113146588,325938;390;87
Pouteria venosa;113077980,101013;575;154
