"species";"population";"N.ind";"N.plots";"pop.sd"
"Theobroma_grandiflorum";211892408,694;93;35;63522723,308653
"Aspidosperma_rigidum";211775989,066;231;92;37029268,9002063
"Ouratea_discophora";211198856,542;356;61;59159336,347521
"Pouteria_hispida";210843790,044;274;147;41258487,6195897
"Neea_divaricata";210770215,32;204;65;60396612,1695899
"Diplotropis_martiusii";210538873,8678;172;42;68304676,6745687
"Ocotea_splendens";210320088,085;141;55;91800714,4044332
"Casearia_arborea";210109019,708;273;96;40827216,0916652
"Iryanthera_paraensis";209832135,608;233;58;42580906,130468
"Coccoloba_densifrons";209643288,592;329;94;37544159,8160453
"Hevea_pauciflora";209349650,5094;191;29;51798477,3448328
"Hymenaea_parvifolia";209199926,208;197;98;42274292,1933871
"Eschweilera_ovalifolia";208723870,218;249;43;69449775,4544483
"Eschweilera_subglandulosa";208632279,1674;278;35;48312689,5309428
"Ilex_inundata";208548029,1566;234;26;159497188,337422
"Astrocaryum_gynacanthum";208231226,2904;458;11;144476576,771402
"Apuleia_leiocarpa";207614559,542;265;94;26998544,9265901
"Protium_pallidum";207473314,142;452;75;37359858,4998493
"Eschweilera_romeu-cardosoi";206906809,834;312;56;73080378,0009654
