species;population;N.ind;N.plots
Capparis flexuosa;247015,428784262;1;1
Capparis hastata;6140274,99207654;6;2
Capparis maroniensis;741076,234118334;3;3
Capparis nitida;775334,031783862;2;2
Capparis osmantha;603233,417580422;1;1
Capparis prisca;4529046,09037344;5;1
Capparis schunkei;10719165,2735923;14;6
Caraipa costata;4571405,45643244;18;2
Caraipa densifolia;406159137,317106;435;54
Caraipa duckeana;1217635,3437179;1;1
Caraipa grandifolia;153083397,982911;209;45
Caraipa heterocarpa;42657114,6772391;39;13
Caraipa jaramilloi;1820971,05402666;3;1
Caraipa llanorum;56126675,4099033;94;3
Caraipa longipedicellata;195764710,835979;142;8
Caraipa myrcioides;15115689,3738452;22;12
